"examinee","QRS_int","T_int","QT_int","RC_int","RC_int2","BX_int","BX_int2","RS_amp","RQ_amp","TT1_amp","TT2_amp","CB_amp","CX_amp","ECGTcrest","ICGcrest","RR","CC"
"ID0086 - 1","71.5","202.79","406.13","79.55","89.62","369.5","416.27","0.9","0.7","0.19","0.19","1.42","1.9","1.75","2.53","787.9","787.8"
"ID0086 - 1","61.5","214.84","405.04","81","92.81","370","423.95","0.89","0.69","0.2","0.19","1.33","1.86","1.77","2.46","761.7","761.3"
"ID0086 - 1","62.5","252.01","412.1","83.8","102.02","227","276.36","0.91","0.71","0.18","0.14","1.31","1.61","1.76","1.97","674.7","674.6"
"ID0086 - 1","75","201.02","426.73","79.1","92.99","362.5","426.15","0.87","0.67","0.17","0.18","1.3","1.85","1.77","2.34","723.6","723.8"
"ID0086 - 2","70","199.01","415.48","77.3","89.96","361","420.14","0.84","0.66","0.18","0.18","1.25","1.7","1.77","2.68","738.3","739.4"
"ID0086 - 2","76","190.15","413.71","78.4","90.35","364.5","420.05","0.86","0.67","0.16","0.16","1.23","1.74","1.74","2.4","753","752.4"
"ID0086 - 2","77.5","207.57","417.99","77.45","88.09","364","414.01","0.86","0.67","0.17","0.17","1.35","1.86","1.78","2.45","773","772.8"
"ID0086 - 2","83.5","195.67","416.22","76.45","86.47","362.5","410","0.84","0.66","0.17","0.17","1.31","1.89","1.75","2.38","781.7","781.2"
"ID0086 - 3","75","235.22","441.69","78.8","92.44","358","419.99","0.86","0.67","0.19","0.19","1.28","1.83","1.83","2.38","726.6","726.8"
"ID0086 - 3","68.5","209.99","420.58","78.15","92.2","356","419.99","0.85","0.67","0.17","0.18","1.29","1.88","1.77","2.35","718.5","718.9"
"ID0086 - 3","69.5","222.09","419.31","79.45","91.9","366","423.35","0.87","0.68","0.19","0.18","1.35","1.82","1.81","2.45","747.4","748"
"ID0086 - 3","72.5","213.35","422.06","79.95","92.7","359.5","416.84","0.87","0.68","0.18","0.18","1.3","1.8","1.77","2.39","743.8","743.6"
"ID0122 - 1","56","251.53","419.69","60","83.38","351.5","488.48","1.7","1.33","0.18","0.12","1.15","1.83","1.57","1.87","517.8","520"
"ID0122 - 1","58.5","227.9","429.31","71.4","99.52","363.5","506.67","1.55","1.16","0.18","0.1","1.14","1.68","1.57","2.24","514.7","514.6"
"ID0122 - 1","54.5","235.33","421.77","64.85","90.57","386","539.08","1.65","1.3","0.14","0.09","1.42","1.66","1.5","2.56","512.7","512.6"
"ID0122 - 1","54.5","260.69","421.44","61.9","86.52","352.5","492.73","1.67","1.33","0.17","0.1","1.01","1.62","1.53","1.9","511.8","512.5"
"ID0122 - 2","54.5","254.27","428.98","63","89.49","328","465.92","1.64","1.31","0.13","0.07","1.13","1.93","1.55","1.83","495.6","497.7"
"ID0122 - 2","54.5","279.84","427.49","66.1","92.95","354","497.8","1.68","1.32","0.15","0.08","1.04","1.61","1.49","2.06","505.7","505.3"
"ID0122 - 2","54.5","277.66","424.91","64.6","90.59","358.5","502.74","1.68","1.34","0.14","0.07","1.08","1.58","1.5","2.12","508.5","508.4"
"ID0122 - 2","54","278.64","426.07","65.85","92.9","369","520.6","1.67","1.32","0.14","0.08","1.25","1.58","1.53","2.47","502.4","501.4"
"ID0122 - 3","54","243.72","419.51","62.65","87.75","379.5","531.56","1.75","1.38","0.16","0.11","1.19","1.86","1.53","1.98","509.7","509"
"ID0122 - 3","54.5","269.83","430.03","64.5","91.84","354.5","504.78","1.64","1.3","0.15","0.08","1.19","1.67","1.55","2.35","493.2","493.4"
"ID0122 - 3","54.5","277.06","425.87","63.2","89.57","377.5","534.99","1.63","1.3","0.15","0.09","1.29","1.63","1.53","2.49","497.9","497.8"
"ID0122 - 3","55","275.91","422.55","63.1","87.71","379.5","527.49","1.71","1.34","0.17","0.1","1.29","1.63","1.51","2.5","517.6","517.7"
"ID0076 - 1","125.5","259.35","454.64","75.5","78.64","358","372.88","0.89","0.66","0.14","0.19","1.27","2.04","1.64","1.96","921.8","921"
"ID0076 - 1","58","279.56","395.78","76.1","81.51","292","312.77","0.89","0.64","0.13","0.18","1.19","1.94","1.62","1.99","871.6","871.3"
"ID0076 - 1","58.5","255.44","378.11","76.3","77.04","308","310.97","0.89","0.63","0.14","0.2","1.3","2.05","1.66","2.05","981","981.4"
"ID0076 - 1","57.5","274.33","385.51","76.4","78.65","303","311.91","0.91","0.64","0.14","0.19","1.2","2.09","1.66","1.89","943.7","944"
"ID0076 - 2","75.5","179.29","374.99","82.7","100.53","352","427.87","0.76","0.5","0.21","0.21","0.8","1.34","2.12","1.89","676.8","692.8"
"ID0076 - 2","129.5","269.45","460.03","77.05","81.58","288.5","305.45","0.88","0.65","0.14","0.19","1.14","1.94","1.62","1.89","892.1","892"
"ID0076 - 2","131","272.8","466.59","78.1","83.39","292","311.77","0.87","0.64","0.15","0.2","1.21","1.9","1.67","2.01","877.2","877.9"
"ID0076 - 2","51.5","169.38","395.04","70.8","81.3","283","324.99","0.8","0.61","0.12","0.18","0.98","1.59","1.59","1.95","758.3","757.7"
"ID0076 - 3","95.5","156.93","449.98","68.95","77.56","301.5","339.17","0.8","0.65","0.08","0.18","1.24","2.03","1.28","1.97","790.2","790.7"
"ID0076 - 3","137","263.12","484.77","77.95","86.18","283","312.86","0.88","0.67","0.13","0.19","1.12","1.83","1.67","1.95","818.2","818.1"
"ID0076 - 3","59","255.37","387.05","77.5","82.63","292.5","311.88","0.88","0.64","0.13","0.19","1.19","1.94","1.66","1.96","879.6","879"
"ID0076 - 3","127.5","245.8","441.92","77.4","79.27","353.5","362.04","0.89","0.66","0.16","0.23","1.17","1.99","1.72","1.86","953.4","951.9"
"ID0177 - 1","55","191.29","403.23","65.95","80.1","258","313.36","0.66","0.6","0.09","0.08","1.78","2.09","1.7","1.82","677.9","677.5"
"ID0177 - 1","54.5","210.33","405.89","68.05","83.7","376.5","463.09","0.66","0.61","0.09","0.08","1.78","2.12","1.72","2.22","661","662.1"
