"examinee","QRS_int","T_int","QT_int","RC_int","RC_int2","BX_int","BX_int2","RS_amp","RQ_amp","TT1_amp","TT2_amp","CB_amp","CX_amp","ECGTcrest","ICGcrest","RR","CC"
"ID0013 - 1","60.5","194.79","390.11","84.4","88.87","286.5","301.66","0.88","0.72","0.21","0.22","1.38","1.62","1.86","1.83","902","903.5"
"ID0013 - 1","60","193.22","385.92","86.5","90.34","295.5","308.63","0.88","0.73","0.22","0.23","1.35","1.55","1.86","1.77","916.7","919.2"
"ID0013 - 1","61","185.36","391.72","86","90.32","296.5","311.38","0.89","0.74","0.22","0.22","1.34","1.47","1.8","1.75","906.7","908.3"
"ID0013 - 1","60","182.8","395.52","84.3","90.12","287.5","307.33","0.87","0.72","0.21","0.22","1.37","1.55","1.79","1.79","875.1","875.8"
"ID0013 - 2","62","197.1","400.64","100.5","107.95","287.5","308.8","0.84","0.72","0.18","0.21","1.25","1.89","1.88","2.01","866.8","866.6"
"ID0013 - 2","62","175.6","401.46","90.9","96.16","343.5","363.38","0.87","0.73","0.18","0.21","1.1","1.92","1.78","1.91","893.6","891.9"
"ID0013 - 2","62.5","197.45","397.01","85.3","90.31","364.5","385.89","0.85","0.73","0.2","0.21","1.35","1.73","1.83","1.91","892.2","891.3"
"ID0013 - 2","62.5","190.91","400.54","86.15","92.14","393","420.33","0.85","0.71","0.19","0.2","1.25","1.72","1.83","1.81","874.2","874.4"
"ID0164 - 1","57.5","196.93","373.57","84.2","92.38","377.5","414.16","1.07","0.84","0.29","0.34","0.72","1.35","1.72","1.63","830.8","831.3"
"ID0164 - 1","57.5","214.01","373.68","83.35","92.42","379","420.26","1.06","0.81","0.29","0.32","0.75","1.37","1.74","1.64","813.3","814"
"ID0164 - 1","57.5","194.82","366.31","81.8","88.78","253.5","275.14","1.04","0.79","0.26","0.31","0.9","1.45","1.7","1.83","848.9","848.3"
"ID0164 - 1","57","196.25","369.48","82.6","90.56","271.5","297.67","1.02","0.77","0.25","0.3","0.85","1.33","1.72","1.77","831.9","832.1"
"ID0164 - 2","57.5","204.67","386.93","87.3","102.98","250.5","295.5","0.96","0.67","0.21","0.26","0.68","1.31","1.7","1.53","718.6","719"
"ID0164 - 2","57","197.51","381.61","86.8","101.14","258.5","301.21","0.94","0.65","0.19","0.25","0.82","1.33","1.71","1.76","736.5","737.6"
"ID0164 - 2","56.5","218.26","377.21","85.75","98.77","249.5","287.37","0.94","0.64","0.2","0.25","0.62","1.31","1.77","1.41","753.8","753.9"
"ID0164 - 2","56.5","190.64","363.38","83.1","92.91","384","429.35","0.94","0.64","0.2","0.26","0.94","1.35","1.7","1.82","799.9","800.6"
"ID0089 - 1","56.5","205.2","390.64","86.8","100.92","257.5","299.38","1.28","1.01","0.36","0.38","1.62","1.75","1.72","1.88","739.8","739.2"
"ID0089 - 1","57","220.14","396.96","78.35","91.75","394.5","461.95","1.32","1.12","0.35","0.36","1.26","2.08","1.76","1.88","729.3","729.2"
"ID0089 - 1","56.5","214.72","398.52","76.95","89.8","252","294.08","1.34","1.14","0.32","0.35","1.75","1.91","1.72","1.84","734.3","734.6"
"ID0089 - 1","57","218.79","395.2","78","89.35","394","451.33","1.34","1.14","0.35","0.37","1.25","2.1","1.75","1.92","762.1","762.2"
"ID0089 - 2","56.5","222.23","407.52","74.85","89.19","380","452.8","1.39","1.19","0.33","0.35","1.36","2.07","1.74","2.07","704.3","704.2"
"ID0089 - 2","57","217.41","391","75","86.5","384.5","443.48","1.38","1.17","0.34","0.36","1.3","2.13","1.73","1.9","751.7","752"
"ID0089 - 2","57.5","219.67","389.64","74.85","84.53","390.5","441.02","1.36","1.16","0.36","0.37","1.33","2.22","1.75","1.87","784","784.2"
"ID0089 - 2","57.5","216.11","395.53","75.75","86.85","386.5","443.11","1.38","1.17","0.36","0.38","1.33","2.13","1.72","1.89","760.8","761.4"
"ID0106 - 1","100.5","196.71","436.57","77.55","86.92","264","295.9","1.29","0.64","0.18","0.28","1.62","2.02","1.7","2.06","796","796.6"
"ID0106 - 1","100","196.36","433.56","79.65","89.12","272","304.33","1.29","0.65","0.18","0.28","1.59","1.99","1.71","2.06","798.8","799.7"
"ID0106 - 1","98.5","192.55","422.75","78.2","85.31","270","294.56","1.28","0.64","0.18","0.29","1.65","2.06","1.71","2.08","840.2","840.1"
"ID0106 - 1","100","187.95","438.16","79","89.44","266","301.17","1.28","0.64","0.18","0.29","1.52","1.94","1.67","2.06","780.1","779.9"
"ID0106 - 2","100.5","188.04","433.54","78.65","87.77","262.5","292.94","1.31","0.65","0.17","0.29","1.62","2.02","1.67","2.05","803","803"
"ID0106 - 2","101.5","187.99","435.13","77.7","85.92","276","305.2","1.3","0.65","0.17","0.3","1.59","2","1.65","2.1","817.8","817.7"
"ID0106 - 2","100","200.52","437.8","77.95","86.84","270","300.78","1.31","0.65","0.19","0.29","1.62","2.05","1.7","2.1","805.8","805.8"
"ID0106 - 2","101","185.1","431.54","77.7","85.1","274.5","300.65","1.3","0.65","0.18","0.29","1.68","2.04","1.66","2.1","833.6","833.6"
"ID0078 - 1","85.5","205.91","423.86","59.75","75.71","244.5","309.82","0.7","0.62","0.12","0.08","1.54","2.67","1.53","1.73","622.8","622.9"
"ID0078 - 1","97.5","207.77","428.23","63.4","76.59","321","387.76","0.71","0.63","0.13","0.09","1.35","2.46","1.61","1.64","685.3","685.3"
"ID0078 - 1","72.5","208.44","411.43","67.7","82.04","329.5","399.31","0.72","0.64","0.14","0.1","1.26","2.31","1.59","1.67","680.9","682.4"
"ID0078 - 1","93","206.85","440.95","62.1","76.92","334.5","414.32","0.69","0.61","0.13","0.08","1.42","2.45","1.49","1.72","651.8","651.3"
"ID0078 - 2","80","210.9","438.78","62.35","81.42","305.5","398.95","0.68","0.59","0.1","0.08","1.32","2.37","1.49","1.65","586.4","586.5"
"ID0078 - 2","94.5","208.22","446.09","59.75","78.74","299.5","394.69","0.7","0.61","0.1","0.07","1.58","2.63","1.54","1.77","575.8","575.5"
"ID0078 - 2","72.5","219.59","401.3","61.4","78.85","322.5","414.14","0.71","0.62","0.12","0.08","1.5","2.57","1.56","1.75","606.4","607.6"
"ID0078 - 2","100.5","186.92","430.84","64.65","79.24","337","413.07","0.72","0.64","0.12","0.09","1.47","2.46","1.54","1.78","665.6","665"
"ID0095 - 1","58","205","385.75","80.25","97.35","346","419.71","0.11","0.11","0.03","0.02","1.56","2.3","1.53","2.14","679.6","680.6"
"ID0095 - 1","59","196.85","392.5","64.55","77.01","296","353.13","0.12","0.12","0.03","0.02","1.64","2.31","1.54","1.98","702.6","702.6"
"ID0095 - 1","59.5","186.17","389.82","61.2","73.75","334.5","403.07","0.12","0.12","0.02","0.02","1.81","2.1","1.48","1.9","688.7","687.3"
"ID0095 - 1","59.5","200.89","393.79","62.15","76.36","356","437.41","0.12","0.12","0.02","0.02","1.47","2.36","1.57","1.9","662.4","662.5"
"ID0095 - 2","59","199.79","391.82","60.6","72.28","362.5","432.38","0.11","0.11","0.02","0.02","1.65","2.49","1.55","1.86","702.9","702.7"
"ID0095 - 2","59.5","187.32","368.5","60.8","67.79","379","422.57","0.11","0.11","0.03","0.02","1.81","2.51","1.58","1.95","804.4","804.5"
