ID,T1,T2,T3,T4,T5,T6
ID0086,0,120,120,227,227,358
ID0122,0,120,120,223,223,354
ID0076,0,120,120,226,226,357
ID0177,0,120,120,230,230,361
ID0045,0,120,120,222,222,353
ID0090,0,120,120,222,222,352
ID0098,0,120,120,222,222,352
ID0142,0,120,120,222,222,352
ID0071,0,120,120,222,222,354
ID0028,0,120,120,223,223,353
ID0010,0,120,120,222,222,354
ID0186,0,120,120,222,222,353
ID0039,0,120,120,220,220,365
ID0023,0,120,120,222,222,352
ID0188,0,120,120,222,222,350
ID0048,0,120,120,223,223,353
ID0157,0,120,120,222,222,352
ID0091,0,120,120,222,222,351
ID0161,0,120,120,221,221,354
ID0117,0,120,120,222,222,352
ID0137,0,120,120,222,222,352
ID0033,0,120,120,222,222,352
ID0049,0,120,120,222,222,352
ID0064,0,120,120,222,222,352
ID0150,0,120,120,222,222,352
ID0103,0,120,120,222,222,352
ID0070,0,120,120,222,222,355
ID0148,0,120,120,222,222,354
ID0195,0,120,120,224,224,353
ID0191,0,120,120,222,222,353
ID0125,0,120,120,222,222,352
ID0055,0,120,120,223,223,354
ID0143,0,120,120,222,222,353
ID0138,0,120,120,221,221,351
ID0096,0,120,120,222,222,352
ID0080,0,120,120,227,227,357
ID0170,0,120,120,222,222,352
ID0088,0,120,120,222,222,354
ID0128,0,120,120,223,223,352
ID0162,0,120,120,224,224,354
ID0066,0,120,120,223,223,355
ID0119,0,120,120,224,224,355
ID0011,0,120,120,223,223,354
ID0059,0,120,120,225,225,356
ID0165,0,120,120,222,222,354
ID0136,0,120,120,222,222,353
ID0061,0,120,120,222,222,352
ID0163,0,120,120,223,223,354
ID0044,0,120,120,223,223,353
ID0060,0,120,120,222,222,352
ID0131,0,120,120,222,222,352
ID0068,0,120,120,222,222,352
ID0043,0,120,120,222,222,352
ID0020,0,120,120,224,224,355
ID0156,0,120,120,230,230,361
ID0102,0,120,120,222,222,360
ID0101,0,120,120,222,222,352
ID0127,0,120,120,222,222,351
ID0074,0,120,120,222,222,351
ID0075,0,120,120,222,222,353
ID0014,0,120,120,222,222,352
ID0041,0,120,120,222,222,352
ID0185,0,120,120,222,222,352
ID0105,0,120,120,223,223,357
ID0034,0,120,120,222,222,354
ID0184,0,120,120,221,221,353
ID0038,0,120,120,219,219,348
ID0147,0,120,120,221,221,352
ID0130,0,120,120,220,220,352
ID0097,0,120,120,221,221,351
ID0202,0,120,120,221,221,533
ID0111,0,120,120,223,223,355
ID0050,0,120,120,223,223,357
ID0139,0,120,120,222,222,355
ID0018,0,120,120,223,223,354
ID0092,0,120,120,223,223,354
ID0081,0,120,120,227,227,358
ID0108,0,120,120,219,219,347
ID0019,0,120,120,222,222,354
ID0140,0,120,120,222,222,353
ID0042,0,120,120,222,222,351
ID0196,0,120,120,221,221,354
ID0124,0,120,120,222,222,353
ID0085,0,120,120,222,222,354
ID0040,0,120,120,222,222,354
ID0180,0,120,120,222,222,353
ID0178,0,120,120,223,223,354
ID0082,0,120,120,222,222,353
ID0168,0,120,120,222,222,353
ID0107,0,120,120,223,223,355
ID0145,0,120,120,224,224,365
ID0110,0,120,120,224,224,355
ID0093,0,120,120,224,224,354
ID0141,0,120,120,222,222,355
ID0022,0,120,120,224,224,355
ID0167,0,120,120,225,225,357
ID0104,0,120,120,224,224,355
ID0144,0,120,120,223,223,356
ID0201,0,120,120,221,221,353
ID0158,0,120,120,222,222,347
ID0032,0,120,120,221,221,351
ID0000,0,120,120,223,223,354
ID0199,0,120,120,222,222,353
ID0175,0,120,120,226,226,357
ID0052,0,120,120,227,227,360
ID0021,0,120,120,221,221,352
ID0123,0,120,120,225,225,356
ID0025,0,120,120,226,226,358
ID0182,0,120,120,223,223,355
ID0094,0,120,120,223,223,351
ID0036,0,120,120,225,225,357
ID0051,0,120,120,222,222,354
ID0187,0,120,120,225,225,356
ID0047,0,120,120,220,220,351
ID0174,0,120,120,222,222,356
ID0112,0,120,120,224,224,355
ID0172,0,120,120,222,222,353
ID0192,0,120,120,222,222,352
ID0024,0,120,120,222,222,353
ID0173,0,120,120,221,221,337
ID0197,0,120,120,230,230,362
ID0189,0,120,120,222,222,351
ID0083,0,120,120,221,221,351
ID0012,0,120,120,220,220,353
ID0114,0,120,120,223,223,355
ID0200,0,120,120,223,223,353
ID0031,0,120,120,223,223,354
ID0008,0,120,120,222,222,352
ID0099,0,120,120,223,223,354
ID0037,0,120,120,222,222,353
ID0030,0,120,120,222,222,353
ID0194,0,120,120,222,222,353
ID0154,0,120,120,222,222,352
ID0077,0,120,120,222,222,353
ID0113,0,120,120,223,223,354
ID0129,0,120,120,222,222,355
ID0029,0,120,120,222,222,353
ID0133,0,120,120,220,220,352
ID0072,0,120,120,223,223,354
ID0193,0,120,120,228,228,358
ID0176,0,120,120,222,222,353
ID0002,0,120,120,227,227,356
ID0181,0,120,120,223,223,354
