ID,T1,T2,T3,T4
ID0013,0,120,120,236
ID0164,0,120,120,222
ID0089,0,120,120,226
ID0106,0,120,120,218
ID0078,0,120,120,223
ID0095,0,120,120,222
ID0016,0,120,120,222
ID0046,0,120,120,222
ID0027,0,120,120,222
ID0062,0,120,120,222
ID0179,0,120,120,222
ID0001,0,120,120,222
ID0017,0,120,120,222
ID0159,0,120,120,222
ID0026,0,120,120,222
ID0065,0,120,120,222
ID0151,0,120,120,222
ID0056,0,120,120,222
ID0171,0,120,120,222
ID0169,0,120,120,222
ID0009,0,120,120,222
ID0146,0,120,120,222
ID0084,0,120,120,222
ID0007,0,120,120,223
ID0183,0,120,120,222
ID0120,0,120,120,224
ID0054,0,120,120,222
ID0198,0,120,120,223
ID0134,0,120,120,224
ID0100,0,120,120,222
ID0190,0,120,120,222
ID0132,0,120,120,223
ID0153,0,120,120,221
ID0155,0,120,120,222
ID0116,0,120,120,223
ID0063,0,120,120,223
ID0166,0,120,120,221
ID0079,0,120,120,222
ID0069,0,120,120,222
ID0058,0,120,120,223
ID0109,0,120,120,234
ID0121,0,120,120,222
ID0087,0,120,120,222
ID0004,0,120,120,222
ID0067,0,120,120,222
ID0160,0,120,120,222
ID0003,0,120,120,222
ID0152,0,120,120,222
ID0073,0,120,120,222
ID0149,0,120,120,222
ID0118,0,120,120,222
ID0135,0,120,120,222
ID0006,0,120,120,222
ID0015,0,120,120,222
ID0053,0,120,120,222
ID0035,0,120,120,223
ID0057,0,120,120,222
ID0005,0,120,120,222
ID0126,0,120,120,221
